Time (microseconds),I_u,I_v,I_w,I_t
0.00,2060,2045,2060,11
52.63,2062,2047,2067,11
105.26,2062,2045,2074,13
157.89,2060,2047,2084,11
210.53,2053,2050,2092,12
263.16,2049,2048,2096,12
315.79,2040,2047,2095,10
368.42,2040,2048,2090,10
421.05,2030,2044,2062,10
473.68,2028,2046,2058,10
526.32,2028,2045,2059,10
578.95,2031,2048,2057,10
631.58,2032,2047,2057,9
684.21,2042,2047,2054,9
736.84,2054,2050,2056,10
789.47,2063,2045,2057,12
842.11,2076,2043,2054,10
894.74,2093,2046,2055,12
947.37,2106,2045,2057,13
1000.00,2115,2049,2055,12
1052.63,2119,2045,2056,11
1105.26,2116,2044,2057,11
1157.89,2112,2046,2056,12
1210.53,2097,2044,2057,11
1263.16,2094,1981,2059,11
1315.79,2065,1994,2056,11
1368.42,2051,2014,2060,11
1421.05,2040,2033,2059,11
1473.68,2035,2055,2059,10
1526.32,2034,2063,2057,10
1578.95,2038,2069,2057,13
1631.58,2039,2075,2052,11
1684.21,2050,2080,2056,11
1736.84,2058,2076,2057,12
1789.47,2070,2070,2056,13
1842.11,2082,2062,2055,12
1894.74,2081,2054,2058,12
1947.37,2082,2052,2058,11
2000.00,2041,2043,2057,11
2052.63,2040,2033,2058,11
2105.26,2045,2031,2058,11
2157.89,2042,2032,2062,11
2210.53,2044,2037,2055,12
2263.16,2041,2044,2056,12
2315.79,2042,2058,2057,13
2368.42,2041,2066,2056,12
2421.05,2040,2077,2055,11
2473.68,2041,2088,2057,11
2526.32,2040,2097,2056,12
2578.95,2038,2107,2056,12
2631.58,2039,2114,2055,12
2684.21,2037,2115,2058,12
2736.84,2039,2110,2054,12
2789.47,2041,2100,1977,11
2842.11,2050,2081,1986,11
2894.74,2044,2064,2009,11
2947.37,2040,2053,2026,11
3000.00,2041,2041,2045,11
3052.63,2040,2035,2059,10
3105.26,2035,2036,2074,10
3157.89,2042,2041,2079,11
3210.53,2040,2049,2089,10
3263.16,2041,2059,2091,10
3315.79,2041,2069,2091,9
3368.42,2038,2077,2082,12
3421.05,2039,2086,2076,11
3473.68,2039,2085,2067,11
3526.32,2034,2078,2064,11
3578.95,2039,2046,2063,12
3631.58,2040,2046,2059,11
3684.21,2041,2046,2054,11
3736.84,2041,2046,2054,13
3789.47,2042,2047,2053,11
3842.11,2044,2048,2062,12
3894.74,2043,2050,2066,11
3947.37,2040,2046,2069,12
4000.00,2040,2047,2083,10
4052.63,2045,2047,2095,10
4105.26,2039,2045,2108,9
4157.89,2038,2046,2118,12
4210.53,2042,2048,2123,11
4263.16,2038,2044,2123,12
4315.79,2042,2046,2122,11
4368.42,2039,2047,2114,10
4421.05,2040,2046,2107,12
4473.68,1979,2049,2086,10
4526.32,2001,2049,2068,11
4578.95,2018,2050,2062,11
4631.58,2029,2048,2054,11
4684.21,2044,2049,2050,11
4736.84,2048,2046,2056,10
4789.47,2057,2047,2063,10
4842.11,2064,2048,2069,9
4894.74,2063,2048,2077,10
4947.37,2057,2048,2089,11
5000.00,2050,2045,2096,11
5052.63,2050,2048,2096,11
5105.26,2042,2048,2090,9
5157.89,2042,2046,2086,10
5210.53,2033,2044,2062,9
5263.16,2028,2046,2061,9
5315.79,2034,2048,2060,9
5368.42,2032,2047,2059,10
5421.05,2036,2050,2057,10
5473.68,2047,2049,2058,9
5526.32,2055,2050,2055,10
5578.95,2064,2046,2058,10
5631.58,2081,2048,2056,10
5684.21,2095,2048,2056,10
5736.84,2105,2046,2056,12
5789.47,2113,2045,2054,11
5842.11,2116,2043,2055,11
5894.74,2114,2045,2057,10
5947.37,2109,2045,2056,10
6000.00,2098,2046,2057,9
6052.63,2092,1977,2058,11
6105.26,2066,1990,2056,10
6157.89,2048,2014,2061,11
6210.53,2040,2032,2061,11
6263.16,2036,2047,2059,10
6315.79,2034,2058,2058,10
6368.42,2040,2066,2055,11
6421.05,2042,2073,2056,10
6473.68,2051,2076,2055,11
6526.32,2064,2074,2058,11
6578.95,2078,2068,2055,10
6631.58,2087,2061,2056,11
6684.21,2088,2052,2057,10
6736.84,2087,2044,2056,11
6789.47,2041,2040,2060,12
6842.11,2042,2031,2058,10
6894.74,2046,2028,2061,11
6947.37,2043,2028,2060,10
7000.00,2041,2031,2056,10
7052.63,2040,2039,2058,12
7105.26,2042,2054,2055,11
7157.89,2040,2062,2057,10
7210.53,2042,2076,2056,10
7263.16,2042,2084,2058,10
7315.79,2038,2096,2055,11
7368.42,2041,2108,2059,11
7421.05,2040,2113,2057,12
7473.68,2041,2113,2056,12
7526.32,2039,2110,2059,11
7578.95,2040,2100,1979,10
7631.58,2051,2081,1990,10
7684.21,2050,2063,2012,10
7736.84,2044,2055,2026,11
7789.47,2044,2043,2044,9
7842.11,2041,2036,2059,10
7894.74,2041,2035,2071,10
7947.37,2041,2040,2083,8
8000.00,2043,2047,2087,9
8052.63,2041,2056,2092,9
8105.26,2037,2064,2091,10
8157.89,2036,2074,2084,11
8210.53,2041,2084,2077,10
8263.16,2036,2086,2069,12
8315.79,2038,2080,2066,11
8368.42,2041,2047,2062,11
8421.05,2042,2046,2058,8
8473.68,2042,2047,2051,10
8526.32,2043,2049,2047,11
8578.95,2042,2048,2050,11
8631.58,2043,2049,2055,12
8684.21,2039,2045,2065,11
8736.84,2037,2044,2070,10
8789.47,2042,2046,2083,11
8842.11,2038,2046,2094,11
8894.74,2044,2046,2106,12
8947.37,2039,2047,2118,11
9000.00,2040,2047,2126,12
9052.63,2042,2046,2128,11
9105.26,2041,2046,2123,12
9157.89,2042,2048,2116,11
9210.53,2040,2047,2101,11
9263.16,1976,2048,2083,11
9315.79,2000,2048,2065,12
9368.42,2015,2047,2057,10
9421.05,2029,2047,2053,9
9473.68,2042,2048,2052,10
9526.32,2045,2046,2057,11
9578.95,2058,2046,2061,11
9631.58,2062,2046,2065,9
9684.21,2058,2046,2079,10
9736.84,2054,2045,2091,11
9789.47,2056,2047,2100,11
9842.11,2051,2048,2101,9
9894.74,2042,2050,2100,8
9947.37,2040,2048,2088,9
10000.00,2031,2047,2058,10
10052.63,2027,2047,2057,9
10105.26,2027,2045,2055,9
10157.89,2027,2047,2059,9
10210.53,2031,2046,2057,9
10263.16,2040,2046,2058,9
10315.79,2052,2047,2056,10
10368.42,2065,2048,2058,10
10421.05,2082,2047,2060,10
10473.68,2094,2045,2056,10
10526.32,2105,2046,2057,11
10578.95,2112,2044,2059,9
10631.58,2121,2046,2058,9
10684.21,2119,2047,2058,9
10736.84,2112,2048,2054,8
10789.47,2104,2049,2057,11
10842.11,2093,1978,2056,10
10894.74,2070,1989,2057,11
10947.37,2051,2015,2057,10
11000.00,2039,2032,2057,12
11052.63,2035,2050,2058,12
11105.26,2034,2056,2057,12
11157.89,2039,2066,2056,12
11210.53,2040,2074,2056,12
11263.16,2049,2077,2055,12
11315.79,2062,2072,2057,11
11368.42,2076,2068,2060,11
11421.05,2082,2058,2059,9
11473.68,2090,2050,2060,11
11526.32,2088,2044,2059,10
11578.95,2043,2039,2059,10
11631.58,2041,2032,2056,10
11684.21,2039,2027,2054,12
11736.84,2039,2029,2057,12
11789.47,2043,2031,2058,11
11842.11,2043,2039,2056,11
11894.74,2043,2053,2057,11
11947.37,2042,2062,2056,12
12000.00,2040,2072,2054,11
12052.63,2041,2086,2056,10
12105.26,2039,2097,2059,10
12157.89,2040,2108,2056,10
12210.53,2044,2111,2060,8
12263.16,2042,2114,2057,10
12315.79,2036,2109,2058,11
12368.42,2040,2100,1977,12
12421.05,2052,2081,1988,11
12473.68,2043,2062,2008,11
12526.32,2042,2052,2026,10
12578.95,2040,2040,2041,10
12631.58,2042,2032,2058,11
12684.21,2039,2034,2073,11
12736.84,2038,2038,2079,11
12789.47,2038,2046,2088,10
12842.11,2040,2056,2100,12
12894.74,2039,2066,2093,10
12947.37,2041,2076,2087,9
13000.00,2041,2086,2080,8
13052.63,2042,2090,2071,12
13105.26,2038,2084,2065,10
13157.89,2042,2048,2060,12
13210.53,2041,2047,2057,11
13263.16,2040,2047,2049,11
13315.79,2041,2046,2048,12
13368.42,2042,2046,2051,11
13421.05,2044,2049,2057,12
13473.68,2043,2050,2066,11
13526.32,2039,2047,2073,12
13578.95,2041,2047,2084,12
13631.58,2041,2045,2097,11
13684.21,2044,2047,2109,11
13736.84,2043,2048,2117,10
13789.47,2042,2045,2126,12
13842.11,2042,2047,2124,11
13894.74,2040,2047,2124,12
13947.37,2040,2046,2113,12
14000.00,2039,2043,2098,10
14052.63,1982,2050,2083,11
14105.26,2001,2045,2065,12
14157.89,2018,2048,2055,12
14210.53,2039,2044,2046,10
14263.16,2046,2045,2052,12
14315.79,2052,2048,2064,11
14368.42,2059,2046,2063,11
14421.05,2064,2046,2070,10
14473.68,2064,2044,2074,8
14526.32,2064,2050,2084,10
14578.95,2055,2050,2094,12
14631.58,2050,2050,2095,10
14684.21,2042,2050,2093,10
14736.84,2042,2048,2086,10
14789.47,2038,2048,2060,11
14842.11,2028,2047,2057,10
14894.74,2028,2047,2056,9
14947.37,2029,2046,2057,10
15000.00,2029,2044,2057,9
15052.63,2044,2046,2059,12
15105.26,2052,2046,2059,10
15157.89,2065,2046,2059,10
15210.53,2080,2046,2057,10
15263.16,2093,2045,2058,10
15315.79,2108,2046,2056,11
15368.42,2116,2048,2056,10
15421.05,2119,2044,2056,11
15473.68,2115,2043,2056,11
15526.32,2112,2048,2053,11
15578.95,2103,2045,2059,10
15631.58,2088,1979,2054,10
15684.21,2065,1993,2057,10
15736.84,2051,2014,2058,9
15789.47,2042,2033,2053,10
15842.11,2029,2051,2059,9
15894.74,2033,2062,2059,12
15947.37,2038,2067,2057,10
16000.00,2044,2079,2060,10
16052.63,2046,2081,2057,10
16105.26,2061,2080,2056,9
16157.89,2072,2072,2056,11
16210.53,2083,2062,2059,11
16263.16,2086,2056,2054,12
16315.79,2086,2050,2057,11
16368.42,2039,2041,2056,12
16421.05,2040,2033,2056,11
16473.68,2040,2029,2055,12
16526.32,2040,2028,2056,11
16578.95,2041,2034,2061,11
16631.58,2043,2041,2060,11
16684.21,2043,2054,2059,11
16736.84,2036,2065,2056,11
16789.47,2044,2076,2056,10
16842.11,2041,2088,2056,11
16894.74,2040,2101,2058,11
16947.37,2040,2108,2057,11
17000.00,2036,2111,2055,11
17052.63,2035,2112,2056,12
17105.26,2042,2110,2058,10
17157.89,2039,2100,1980,10
17210.53,2050,2081,1990,11
17263.16,2044,2063,2008,11
17315.79,2042,2052,2026,10
17368.42,2044,2040,2044,10
17421.05,2041,2035,2061,9
17473.68,2037,2034,2074,9
17526.32,2040,2039,2080,9
17578.95,2041,2046,2088,9
17631.58,2042,2057,2092,9
17684.21,2043,2069,2093,10
17736.84,2040,2076,2087,10
17789.47,2040,2084,2078,12
17842.11,2041,2089,2070,11
17894.74,2039,2083,2064,12
17947.37,2042,2047,2061,10
18000.00,2042,2048,2056,10
18052.63,2041,2046,2055,12
18105.26,2044,2045,2054,11
18157.89,2039,2045,2051,12
18210.53,2044,2048,2057,10
18263.16,2043,2046,2064,10
18315.79,2040,2047,2071,11
18368.42,2038,2046,2080,11
18421.05,2042,2045,2094,12
18473.68,2039,2047,2106,12
18526.32,2040,2046,2117,12
18578.95,2039,2045,2122,11
18631.58,2038,2045,2123,12
18684.21,2041,2045,2123,13
18736.84,2040,2046,2115,11
18789.47,2041,2046,2102,12
18842.11,1977,2049,2087,11
18894.74,2000,2047,2070,11
18947.37,2019,2048,2059,12
19000.00,2036,2048,2049,11
19052.63,2051,2048,2050,12
19105.26,2050,2044,2057,10
19157.89,2059,2047,2061,11
19210.53,2064,2049,2066,10
19263.16,2063,2046,2078,10
19315.79,2057,2047,2088,10
19368.42,2049,2047,2095,10
19421.05,2050,2047,2093,10
19473.68,2044,2048,2091,10
19526.32,2043,2046,2086,11
19578.95,2032,2046,2061,10
19631.58,2032,2045,2060,11
19684.21,2033,2048,2060,10
19736.84,2029,2049,2057,11
19789.47,2038,2051,2058,9
19842.11,2046,2047,2058,11
19894.74,2054,2047,2057,10
19947.37,2065,2047,2056,9
20000.00,2081,2046,2057,10
20052.63,2093,2046,2056,10
20105.26,2110,2045,2055,10
20157.89,2114,2046,2055,10
20210.53,2120,2049,2059,11
20263.16,2117,2047,2058,11
20315.79,2109,2046,2056,9
20368.42,2100,2045,2057,9
20421.05,2094,1982,2059,10
20473.68,2068,1994,2058,10
20526.32,2055,2014,2063,9
20578.95,2040,2033,2061,10
20631.58,2035,2054,2059,10
20684.21,2034,2061,2057,11
20736.84,2041,2068,2056,10
20789.47,2042,2075,2058,11
20842.11,2054,2077,2058,10
20894.74,2061,2073,2054,9
20947.37,2074,2068,2057,11
21000.00,2085,2060,2058,11
21052.63,2087,2054,2057,11
21105.26,2087,2047,2058,10
21157.89,2039,2039,2057,10
21210.53,2040,2032,2060,11
21263.16,2045,2029,2060,11
21315.79,2042,2028,2060,11
21368.42,2042,2036,2057,11
21421.05,2040,2042,2057,10
21473.68,2041,2054,2057,11
21526.32,2042,2064,2058,12
21578.95,2042,2074,2056,9
21631.58,2041,2087,2056,9
21684.21,2037,2098,2056,10
21736.84,2043,2109,2059,10
21789.47,2040,2111,2057,12
21842.11,2041,2114,2056,11
21894.74,2040,2111,2058,11
21947.37,2040,2098,1978,10
22000.00,2042,2082,1988,11
22052.63,2050,2068,2009,10
22105.26,2044,2054,2024,10
22157.89,2042,2041,2040,9
22210.53,2044,2034,2062,12
22263.16,2043,2037,2074,9
22315.79,2041,2042,2076,9
22368.42,2040,2048,2084,10
22421.05,2040,2058,2089,11
22473.68,2042,2065,2091,10
22526.32,2038,2076,2084,12
22578.95,2040,2085,2077,12
22631.58,2038,2086,2070,12
22684.21,2037,2083,2066,11
22736.84,2041,2047,2062,11
22789.47,2042,2048,2057,10
22842.11,2042,2048,2051,11
22894.74,2040,2050,2049,11
22947.37,2042,2048,2053,10
